agents,algorithm,alpha,cost,expansions,experiment,heuristic,iterations,runtime,scenario,solved,variant
8,,0.0,115,,congestion_pibt,,,0.003096571000014592,warehouse,True,
8,,0.1,121,,congestion_pibt,,,0.003112555999905453,warehouse,True,
8,,0.3,121,,congestion_pibt,,,0.0033770049999475305,warehouse,True,
8,,0.6,121,,congestion_pibt,,,0.002984363999985362,warehouse,True,
8,,1.0,121,,congestion_pibt,,,0.0029725919999918915,warehouse,True,
8,,2.0,121,,congestion_pibt,,,0.0031449860000520857,warehouse,True,
8,,0.0,125,,congestion_pibt,,,0.0031126960000165127,warehouse,True,
8,,0.1,123,,congestion_pibt,,,0.0030475390000219704,warehouse,True,
8,,0.3,123,,congestion_pibt,,,0.0031203049999248833,warehouse,True,
8,,0.6,123,,congestion_pibt,,,0.0030341269999780707,warehouse,True,
8,,1.0,123,,congestion_pibt,,,0.003070269999966513,warehouse,True,
8,,2.0,123,,congestion_pibt,,,0.0030425919999288453,warehouse,True,
8,,0.0,,,congestion_pibt,,,0.008126077000042642,warehouse,False,
8,,0.1,,,congestion_pibt,,,0.00832025700003669,warehouse,False,
8,,0.3,,,congestion_pibt,,,0.008507503999908295,warehouse,False,
8,,0.6,,,congestion_pibt,,,0.008988785000042299,warehouse,False,
8,,1.0,,,congestion_pibt,,,0.008838255999989997,warehouse,False,
8,,2.0,,,congestion_pibt,,,0.009230741999999736,warehouse,False,
8,,0.0,168,,congestion_pibt,,,0.004125331999944137,warehouse,True,
8,,0.1,112,,congestion_pibt,,,0.0036168010000210415,warehouse,True,
8,,0.3,112,,congestion_pibt,,,0.0031971100000873776,warehouse,True,
8,,0.6,112,,congestion_pibt,,,0.003529352999976254,warehouse,True,
8,,1.0,112,,congestion_pibt,,,0.003678186000001915,warehouse,True,
8,,2.0,115,,congestion_pibt,,,0.0035319520000030025,warehouse,True,
12,,0.0,,,congestion_pibt,,,0.014282950000051642,warehouse,False,
12,,0.1,195,,congestion_pibt,,,0.0049577209999824845,warehouse,True,
12,,0.3,195,,congestion_pibt,,,0.004820454999958201,warehouse,True,
12,,0.6,195,,congestion_pibt,,,0.0049446439999201175,warehouse,True,
12,,1.0,195,,congestion_pibt,,,0.005165992999991431,warehouse,True,
12,,2.0,195,,congestion_pibt,,,0.00534764000008181,warehouse,True,
12,,0.0,,,congestion_pibt,,,0.013623161999930744,warehouse,False,
12,,0.1,185,,congestion_pibt,,,0.005780681000032928,warehouse,True,
12,,0.3,185,,congestion_pibt,,,0.005106600999965849,warehouse,True,
12,,0.6,185,,congestion_pibt,,,0.004741355000078329,warehouse,True,
12,,1.0,185,,congestion_pibt,,,0.004802909000090949,warehouse,True,
12,,2.0,185,,congestion_pibt,,,0.004813386000023456,warehouse,True,
12,,0.0,276,,congestion_pibt,,,0.0055395240000279955,warehouse,True,
12,,0.1,214,,congestion_pibt,,,0.0050760990000071615,warehouse,True,
12,,0.3,214,,congestion_pibt,,,0.004787706999991315,warehouse,True,
12,,0.6,214,,congestion_pibt,,,0.004915711999956329,warehouse,True,
12,,1.0,214,,congestion_pibt,,,0.005348117000039565,warehouse,True,
12,,2.0,214,,congestion_pibt,,,0.005183080000051632,warehouse,True,
12,,0.0,231,,congestion_pibt,,,0.007628719999956957,warehouse,True,
12,,0.1,215,,congestion_pibt,,,0.010925671999984843,warehouse,True,
12,,0.3,215,,congestion_pibt,,,0.005656423999994331,warehouse,True,
12,,0.6,215,,congestion_pibt,,,0.004939557000056993,warehouse,True,
12,,1.0,215,,congestion_pibt,,,0.005170921999933853,warehouse,True,
12,,2.0,215,,congestion_pibt,,,0.006030598000052123,warehouse,True,
8,,0.0,103,,congestion_pibt,,,0.007513424999956442,random_obstacles,True,
8,,0.1,96,,congestion_pibt,,,0.00525811199997861,random_obstacles,True,
8,,0.3,96,,congestion_pibt,,,0.004588270999988708,random_obstacles,True,
8,,0.6,96,,congestion_pibt,,,0.004797423000013623,random_obstacles,True,
8,,1.0,96,,congestion_pibt,,,0.004617220999989513,random_obstacles,True,
8,,2.0,96,,congestion_pibt,,,0.004642393999915839,random_obstacles,True,
8,,0.0,106,,congestion_pibt,,,0.004827954999996109,random_obstacles,True,
8,,0.1,103,,congestion_pibt,,,0.004886335999913172,random_obstacles,True,
8,,0.3,103,,congestion_pibt,,,0.005699039999967681,random_obstacles,True,
